Task,Back_Staps,All_steps,Ground_Truth_Steps,Recall_Rate
Set_up_an_event_named_'busy'_in_the_Do_Not_Disturb,0,7,7,0
Clear_cache_and_data_from_Google_Play_Services_on_your_device,1,11,9,0.181818182
Disable_lock_screen_notifications_in_the_phone's_settings_app.,0,5,5,0
Turn_on_airplane_mode_on_the_phone,0,3,3,0
Add_a_language_Brezhoneg_on_your_device.,0,8,8,0
Access_and_modify_location_settings,0,4,4,0
Clear_the_data_of_Calendar,0,6,6,0
Enable_quick_open_camera,0,5,5,0
Check_for_Android_updates_on_your_device,0,2,2,0
Open_the_mobile_network_setting,0,2,2,0
Confirm_if_adaptive_battery_is_enabled,0,2,2,0
Remove_user_certificates_from_the_device_if_any,0,5,5,0
Access_the_app_data_usage_information_of_chrome,0,4,4,0
Check_the_storage_usage_of_photos_on_the_phone,0,2,2,0
check_out_phone_information,0,3,3,0
allow_cookies_in_the_chrome_app,0,5,5,0
have_battery_saver_turn_on,0,3,3,0
Disable_the_schedule_for_the_battery_saver_mode_on_the_phone,0,3,3,0
Add_a_language_Brezhoneg_on_your_device,0,7,7,0
start_the_stopwatch,0,6,6,0
change_inbox_type_to_default_type_in_the_gmail_app,0,3,3,0
Allow_clock_app_to_use_mobile_data_while_Data_Saver_is_on,0,5,5,0
Enable_Bluetooth_tethering_on_other_devices_using_phone's_connection,0,3,3,0
Check_mobile_data_usage_on_your_phone.,0,2,2,0
clear_all_cookies_in_the_chrome_app,0,5,5,0
Change_the_device_navigation_to_2-buttons_in_the_Settings_app,0,5,5,0
change_timer_sound_to_Argon,0,4,4,0
Set_a_time_limit_of_1_hour_30_min_for_Chrome_in_Digital_Wellbeing_&_parental_controls,0,9,9,0
open_notifications_settings,0,2,2,0
Change_location_permissions_to_disabled,0,1,1,0
Disable_auto-rotate_screen_in_device_settings,0,1,1,0
Change_the_Bluetooth_name_on_your_phone_to_jack.,0,6,6,0
Turn_on_airplane_mode_on_your_device.,0,2,2,0
Check_if_Find_My_Device_is_turned_on,0,2,2,0
enable_quickly_open_camera_function_in_setting,0,5,5,0
Enable_Wifi_hotspot,0,4,4,0
Set_the_duration_for_'Do_Not_Disturb'_on_your_phone_to_1_hour.,0,6,6,0
open_bookmarks_in_the_chrome_app,0,2,2,0
Disable_the_schedule_for_the_battery_saver_mode_on_the_phone.,0,3,3,0
Open_security_settings_on_your_phone,0,2,2,0
Open_the_screen_timeout_settings_on_your_phone,0,3,3,0
turn_on_bluetooth_scan,0,4,4,0
Check_if_'Find_My_Device'_is_turned_on_in_the_device_settings,0,1,1,0
Open_the_privacy_settings_on_the_phone,0,1,1,0
Enable_emergency_location_service_on_the_phone,0,4,4,0
"Pair_a_Bluetooth_device_if_any,_no_need_to_wait",0,3,3,0
Open_display_settings_on_the_phone,0,1,1,0
check_android_version,0,1,1,0
Set_chrome_as_the_default_browser,0,6,6,0
