Origin,Edge,Destination,Description
"<div id=1 class='' description='Prevent ringing'> Prevent ringing    <p> To enable;; first change ""Press & hold power button"" to the power menu. </p>    <switch id=2 class='com.android.settings:id/switchWidget' clickable> Off </switch> </div><div id=3 class='' > Press & hold power button    <p> Access digital assistant </p> </div><div id=4 class='' > Quickly open camera    <p> On </p> </div><div id=5 class='' description='Navigate up'>  </div>",Action: Click on <div id=4 class='' > Quickly open camera    <p> On </p> </div>,<div id=1 class='' > Quickly open camera    <p> To quickly open camera;; press the power button twice. Works from any screen. </p>    <switch id=2 class='android:id/switch_widget' clickable> On </switch> </div><div id=3 class='' description='Navigate up'>  </div>,A page describing the quick camera open feature and its settings
<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='com.google.android.gm:id/viewified_conversation_item_view' > Starred;; ;; ;; To: haojian;; ;; Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad.;; Dear Prof. Jin;; My name is Bowen Wang;; a third-year undergraduate student majoring in CS in Tsinghua University;; and researching in PCG-HCI group advised by Prof. Shi and Prof. Yu;; I would like to;; ;;  on Aug 1 </div><div id=4 class='com.google.android.gm:id/viewified_conversation_item_view' > ;; ;; ;; To: unsubscribe.;; ;; ;; Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。;; ;;  on Aug 2    <p> To: unsubscribe. </p>    <p> Aug 2 </p>    <p> (no subject) </p>    <p> Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。 </p>    <button id=5 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=6 class='com.google.android.gm:id/viewified_conversation_item_view' description='PDF'> Starred;; Important;; ;; To: Karan;; 7 messages;; Ph.D Application - Tsinghua University - Bowen Wang - Undergrad.;; Dear Prof. I'm thrilled to have your early reply;; and let's have a detailed meeting to discuss everything in alignment. That must be a wonderful experience. Moreover;; I noticed that you;; ;;  on Aug 10;; labels: Inbox;;     <p> To: Karan  7 </p>    <p> Aug 10 </p>    <p> Ph.D Application - Tsinghua University - Bowen Wang - Undergrad. </p>    <p> Dear Prof. I'm thrilled to have your early reply;; and let's have a detailed meeting to discuss everything in alignment. That must be a wonderful experience. Moreover;; I noticed that you </p>    <p> CV </p>    <div id=7 class='com.google.android.gm:id/attachment_name' > CV </div>    <button id=8 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=9 class='com.google.android.gm:id/viewified_conversation_item_view' > ;; ;; ;; To: unsubscribe.;; ;; ;; Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。;; ;;  on Aug 17    <p> To: unsubscribe. </p>    <p> Aug 17 </p>    <p> (no subject) </p>    <p> Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。 </p>    <button id=10 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=11 class='com.google.android.gm:id/viewified_conversation_item_view' description='PDF'> Starred;; Important;; ;; To: Haijun;; 8 messages;; Inquiry on Intern at Creativity Lab from a [ Tsinghua Student in Prof. Shi's HCI Lab ];; Dear Prof. I've sent your a zoom meeting link via Google Calendar. Hope everything goes well! Best regards;; Bowen On Sun;; Aug 20;; 2023 at 2:51 AM Haijun Xia <haijunxia@ucsd.edu> wrote: Sounds;; ;;  on Aug 21;; labels: Inbox;;     <p> To: Haijun  8 </p>    <p> Aug 21 </p>    <p> Inquiry on Intern at Creativity Lab from a [ Tsinghua Student in Prof. Shi's HCI Lab ] </p>    <p> Dear Prof. I've sent your a zoom meeting link via Google Calendar. Hope everything goes well! Best regards;; Bowen On Sun;; Aug 20;; 2023 at 2:51 AM Haijun Xia <haijunxia@ucsd.edu> wrote: Sounds </p>    <p> CV </p>    <div id=12 class='com.google.android.gm:id/attachment_name' > CV </div>    <button id=13 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=14 class='com.google.android.gm:id/viewified_conversation_item_view' description='PDF;;PDF'> Starred;; Important;; ;; To: Anhong;; 5 messages;; Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad.;; Dear Prof. Couldn't be better! It's obvious that recently most labs are focusing on CHI;; same as mine. Hope everything goes well in CHI24 and see you then. Best regards;; Bowen On Thu;; Aug 31;;;; ;;  on Aug 31;; labels: Inbox;;     <p> To: Anhong  5 </p>    <p> Aug 31 </p>    <p> Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad. </p>    <p> Dear Prof. Couldn't be better! It's obvious that recently most labs are focusing on CHI;; same as mine. Hope everything goes well in CHI24 and see you then. Best regards;; Bowen On Thu;; Aug 31;; </p>    <p> Transcript_college </p>    <p> CV </p>    <div id=15 class='com.google.android.gm:id/attachment_name' > CV </div>    <div id=16 class='com.google.android.gm:id/attachment_name' > Transcript_college </div>    <button id=17 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=18 class='com.google.android.gm:id/hide_filters_text' > Hide filters </div><button id=19 class='com.google.android.gm:id/conversation_list_filter_icon' description='Filter icon'>  </button><div id=20 class='' > Is unread </div><div id=21 class='' > Date </div><div id=22 class='' > Attachment </div><div id=23 class='' > To </div><div id=24 class='' > Sent </div><div id=25 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=26 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=27 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <div id=14 class='com.google.android.gm:id/viewified_conversation_item_view' description='PDF;;PDF'> Starred;; Important;; ;; To: Anhong;; 5 messages;; Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad.;; Dear Prof. Couldn't be better! It's obvious that recently most labs are focusing on CHI;; same as mine. Hope everything goes well in CHI24 and see you then. Best regards;; Bowen On Thu;; Aug 31;;;; ;;  on Aug 31;; labels: Inbox;;     <p> To: Anhong  5 </p>    <p> Aug 31 </p>    <p> Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad. </p>    <p> Dear Prof. Couldn't be better! It's obvious that recently most labs are focusing on CHI;; same as mine. Hope everything goes well in CHI24 and see you then. Best regards;; Bowen On Thu;; Aug 31;; </p>    <p> Transcript_college </p>    <p> CV </p> </div>,<button id=1 class='' description='Meet'>  </button><button id=2 class='' description='More options'>  </button><div id=3 class='com.google.android.gm:id/inside_conversation_unread' description='Mark unread'>  </div><div id=4 class='com.google.android.gm:id/delete' description='Delete'>  </div><div id=5 class='com.google.android.gm:id/archive' description='Archive'>  </div><div id=6 class='' description='Navigate up'>  </div><div id=7 class='com.google.android.gm:id/upper_header' description='Show contact information for Bowen Wang;;Reply;;More options'> Bowen Wang    <p> Aug 2 </p>    <p> to anhong </p>    <button id=8 class='com.google.android.gm:id/overflow' description='More options'>  </button>    <button id=9 class='com.google.android.gm:id/reply' description='Reply'>  </button>    <div id=10 class='com.google.android.gm:id/recipient_summary_container' > to anhong </div>    <button id=11 class='com.google.android.gm:id/contact_badge' description='Show contact information for Bowen Wang'>  </button> </div><button id=12 class='com.google.android.gm:id/conversation_header_star' description='Remove star'>  </button><div id=13 class='' description=' Prof. Yu'>  Prof. Yu </div><div id=14 class='' description='Prof. Shi '> Prof. Shi  </div><div id=15 class='' description='PCG-HCI group'> PCG-HCI group </div><div id=16 class='' description='Bowen Wang'> Bowen Wang </div>,Email conversation interface on Gmail application
<button id=1 class='' description='Meet'>  </button><button id=2 class='' description='More options'>  </button><div id=3 class='com.google.android.gm:id/inside_conversation_unread' description='Mark unread'>  </div><div id=4 class='com.google.android.gm:id/delete' description='Delete'>  </div><div id=5 class='com.google.android.gm:id/archive' description='Archive'>  </div><div id=6 class='' description='Navigate up'>  </div><div id=7 class='com.google.android.gm:id/upper_header' description='Show contact information for Bowen Wang;;Reply;;More options'> Bowen Wang    <p> Aug 2 </p>    <p> to anhong </p>    <button id=8 class='com.google.android.gm:id/overflow' description='More options'>  </button>    <button id=9 class='com.google.android.gm:id/reply' description='Reply'>  </button>    <div id=10 class='com.google.android.gm:id/recipient_summary_container' > to anhong </div>    <button id=11 class='com.google.android.gm:id/contact_badge' description='Show contact information for Bowen Wang'>  </button> </div><button id=12 class='com.google.android.gm:id/conversation_header_star' description='Remove star'>  </button><div id=13 class='' description=' Prof. Yu'>  Prof. Yu </div><div id=14 class='' description='Prof. Shi '> Prof. Shi  </div><div id=15 class='' description='PCG-HCI group'> PCG-HCI group </div><div id=16 class='' description='Bowen Wang'> Bowen Wang </div>,Action: Click on <button id=2 class='' description='More options'>  </button>,<div id=1 class='' > Help & feedback </div><div id=2 class='' > Add to Tasks </div><div id=3 class='' > Report spam </div><div id=4 class='' > Print all </div><div id=5 class='' > Mute </div><div id=6 class='' > Mark not important </div><div id=7 class='' > Change labels </div><div id=8 class='' > Snooze </div>,Email interaction options in a mail client
<div id=1 class='' > Help & feedback </div><div id=2 class='' > Add to Tasks </div><div id=3 class='' > Report spam </div><div id=4 class='' > Print all </div><div id=5 class='' > Mute </div><div id=6 class='' > Mark not important </div><div id=7 class='' > Change labels </div><div id=8 class='' > Snooze </div>,Action: Click on <div id=7 class='' > Change labels </div>,<div id=1 class='android:id/button1' > OK </div><div id=2 class='android:id/button2' > Cancel </div><div id=3 class='com.google.android.gm:id/folders' description='Notes'> Notes    <div id=4 class='com.google.android.gm:id/checkbox' description='Notes'> Notes </div> </div><div id=5 class='com.google.android.gm:id/folders' description='Inbox'> Inbox    <div id=6 class='com.google.android.gm:id/checkbox' description='Inbox'> Inbox </div> </div>,Gmail app interface with options to select different folders and confirm or cancel actions
<div id=1 class='android:id/button1' > OK </div><div id=2 class='android:id/button2' > Cancel </div><div id=3 class='com.google.android.gm:id/folders' description='Notes'> Notes    <checkbox id=4 class='com.google.android.gm:id/checkbox' unchecked> Notes </checkbox> </div><div id=5 class='com.google.android.gm:id/folders' description='Inbox'> Inbox    <checkbox id=6 class='com.google.android.gm:id/checkbox' checked> Inbox </checkbox> </div>,Action: Click on <checkbox id=4 class='com.google.android.gm:id/checkbox' unchecked> Notes </checkbox>,<div id=1 class='android:id/button1' > OK </div><div id=2 class='android:id/button2' > Cancel </div><div id=3 class='com.google.android.gm:id/folders' description='Notes'> Notes    <checkbox id=4 class='com.google.android.gm:id/checkbox' checked> Notes </checkbox> </div><div id=5 class='com.google.android.gm:id/folders' description='Inbox'> Inbox    <checkbox id=6 class='com.google.android.gm:id/checkbox' checked> Inbox </checkbox> </div>,A selection page for different folders in the Google Mail application
<button id=1 class='' description='Meet'>  </button><button id=2 class='' description='More options'>  </button><div id=3 class='com.google.android.gm:id/inside_conversation_unread' description='Mark unread'>  </div><div id=4 class='com.google.android.gm:id/delete' description='Delete'>  </div><div id=5 class='com.google.android.gm:id/archive' description='Archive'>  </div><div id=6 class='' description='Navigate up'>  </div><div id=7 class='com.google.android.gm:id/upper_header' description='Show contact information for Bowen Wang;;Reply;;More options'> Bowen Wang    <p> Aug 2 </p>    <p> to anhong </p>    <button id=8 class='com.google.android.gm:id/overflow' description='More options'>  </button>    <button id=9 class='com.google.android.gm:id/reply' description='Reply'>  </button>    <div id=10 class='com.google.android.gm:id/recipient_summary_container' > to anhong </div>    <button id=11 class='com.google.android.gm:id/contact_badge' description='Show contact information for Bowen Wang'>  </button> </div><button id=12 class='com.google.android.gm:id/conversation_header_star' description='Remove star'>  </button><div id=13 class='' description=' Prof. Yu'>  Prof. Yu </div><div id=14 class='' description='Prof. Shi '> Prof. Shi  </div><div id=15 class='' description='PCG-HCI group'>  </div><div id=16 class='' description='Bowen Wang'> Bowen Wang </div>,Action: Click on <button id=2 class='' description='More options'>  </button>,<div id=1 class='' > Help & feedback </div><div id=2 class='' > Add to Tasks </div><div id=3 class='' > Report spam </div><div id=4 class='' > Print all </div><div id=5 class='' > Mute </div><div id=6 class='' > Mark not important </div><div id=7 class='' > Change labels </div><div id=8 class='' > Snooze </div>,Email management interface in an email application
<div id=1 class='android:id/button1' > OK </div><div id=2 class='android:id/button2' > Cancel </div><div id=3 class='com.google.android.gm:id/folders' description='Notes'> Notes    <checkbox id=4 class='com.google.android.gm:id/checkbox' Notes> Off </checkbox> </div><div id=5 class='com.google.android.gm:id/folders' description='Inbox'> Inbox    <checkbox id=6 class='com.google.android.gm:id/checkbox' Inbox> On </checkbox> </div>,Action: Click on <checkbox id=4 class='com.google.android.gm:id/checkbox' Notes> Off </checkbox>,<div id=1 class='android:id/button1' > OK </div><div id=2 class='android:id/button2' > Cancel </div><div id=3 class='com.google.android.gm:id/folders' description='Notes'> Notes    <checkbox id=4 class='com.google.android.gm:id/checkbox' Notes> On </checkbox> </div><div id=5 class='com.google.android.gm:id/folders' description='Inbox'> Inbox    <checkbox id=6 class='com.google.android.gm:id/checkbox' Inbox> On </checkbox> </div>,Configuration interface of the Google mail application
<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='com.google.android.gm:id/viewified_conversation_item_view' > Starred;; ;; ;; To: haojian;; ;; Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad.;; Dear Prof. Jin;; My name is Bowen Wang;; a third-year undergraduate student majoring in CS in Tsinghua University;; and researching in PCG-HCI group advised by Prof. Shi and Prof. Yu;; I would like to;; ;;  on Aug 1 </div><div id=4 class='com.google.android.gm:id/viewified_conversation_item_view' > ;; ;; ;; To: unsubscribe.;; ;; ;; Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。;; ;;  on Aug 2    <p> To: unsubscribe. </p>    <p> Aug 2 </p>    <p> (no subject) </p>    <p> Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。 </p>    <button id=5 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=6 class='com.google.android.gm:id/viewified_conversation_item_view' description='PDF'> Starred;; Important;; ;; To: Karan;; 7 messages;; Ph.D Application - Tsinghua University - Bowen Wang - Undergrad.;; Dear Prof. I'm thrilled to have your early reply;; and let's have a detailed meeting to discuss everything in alignment. That must be a wonderful experience. Moreover;; I noticed that you;; ;;  on Aug 10;; labels: Inbox;;     <p> To: Karan  7 </p>    <p> Aug 10 </p>    <p> Ph.D Application - Tsinghua University - Bowen Wang - Undergrad. </p>    <p> Dear Prof. I'm thrilled to have your early reply;; and let's have a detailed meeting to discuss everything in alignment. That must be a wonderful experience. Moreover;; I noticed that you </p>    <p> CV </p>    <div id=7 class='com.google.android.gm:id/attachment_name' > CV </div>    <button id=8 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=9 class='com.google.android.gm:id/viewified_conversation_item_view' > ;; ;; ;; To: unsubscribe.;; ;; ;; Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。;; ;;  on Aug 17    <p> To: unsubscribe. </p>    <p> Aug 17 </p>    <p> (no subject) </p>    <p> Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。 </p>    <button id=10 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=11 class='com.google.android.gm:id/viewified_conversation_item_view' description='PDF'> Starred;; Important;; ;; To: Haijun;; 8 messages;; Inquiry on Intern at Creativity Lab from a [ Tsinghua Student in Prof. Shi's HCI Lab ];; Dear Prof. I've sent your a zoom meeting link via Google Calendar. Hope everything goes well! Best regards;; Bowen On Sun;; Aug 20;; 2023 at 2:51 AM Haijun Xia <haijunxia@ucsd.edu> wrote: Sounds;; ;;  on Aug 21;; labels: Inbox;;     <p> To: Haijun  8 </p>    <p> Aug 21 </p>    <p> Inquiry on Intern at Creativity Lab from a [ Tsinghua Student in Prof. Shi's HCI Lab ] </p>    <p> Dear Prof. I've sent your a zoom meeting link via Google Calendar. Hope everything goes well! Best regards;; Bowen On Sun;; Aug 20;; 2023 at 2:51 AM Haijun Xia <haijunxia@ucsd.edu> wrote: Sounds </p>    <p> CV </p>    <div id=12 class='com.google.android.gm:id/attachment_name' > CV </div>    <button id=13 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=14 class='com.google.android.gm:id/viewified_conversation_item_view' description='PDF;;PDF'> Starred;; Important;; ;; To: Anhong;; 5 messages;; Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad.;; Dear Prof. Couldn't be better! It's obvious that recently most labs are focusing on CHI;; same as mine. Hope everything goes well in CHI24 and see you then. Best regards;; Bowen On Thu;; Aug 31;;;; ;;  on Aug 31;; labels: Inbox;; Notes;;     <p> To: Anhong  5 </p>    <p> Aug 31 </p>    <p> Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad. </p>    <p> Dear Prof. Couldn't be better! It's obvious that recently most labs are focusing on CHI;; same as mine. Hope everything goes well in CHI24 and see you then. Best regards;; Bowen On Thu;; Aug 31;; </p>    <p> Transcript_college </p>    <p> CV </p>    <div id=15 class='com.google.android.gm:id/attachment_name' > CV </div>    <div id=16 class='com.google.android.gm:id/attachment_name' > Transcript_college </div>    <button id=17 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=18 class='com.google.android.gm:id/hide_filters_text' > Hide filters </div><button id=19 class='com.google.android.gm:id/conversation_list_filter_icon' description='Filter icon'>  </button><div id=20 class='' > Is unread </div><div id=21 class='' > Date </div><div id=22 class='' > Attachment </div><div id=23 class='' > To </div><div id=24 class='' > Sent </div><div id=25 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=26 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=27 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <button id=26 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>,<div id=1 class='com.google.android.gm:id/og_tos_button' > Terms of Service </div><div id=2 class='com.google.android.gm:id/og_privacy_policy_button' > Privacy Policy </div><div id=3 class='com.google.android.gm:id/og_card' > Manage accounts on this device </div><div id=4 class='com.google.android.gm:id/og_card' > Add another account </div><div id=5 class='com.google.android.gm:id/og_card' > Storage used: 18% of 15 GB </div><div id=6 class='com.google.android.gm:id/my_account_chip' > Manage your Google Account </div><button id=7 class='com.google.android.gm:id/account_avatar' description='Change profile picture.'>  </button><button id=8 class='com.google.android.gm:id/og_header_close_button' description='Close'>  </button>,Account settings page in a Google account
<button id=1 class='' description='Meet'>  </button><div id=2 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=3 class='com.google.android.gm:id/viewified_conversation_item_view' > Starred;; ;; ;; To: haojian;; ;; Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad.;; Dear Prof. Jin;; My name is Bowen Wang;; a third-year undergraduate student majoring in CS in Tsinghua University;; and researching in PCG-HCI group advised by Prof. Shi and Prof. Yu;; I would like to;; ;;  on Aug 1 </div><div id=4 class='com.google.android.gm:id/viewified_conversation_item_view' > ;; ;; ;; To: unsubscribe.;; ;; ;; Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。;; ;;  on Aug 2    <p> To: unsubscribe. </p>    <p> Aug 2 </p>    <p> (no subject) </p>    <p> Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。 </p>    <button id=5 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=6 class='com.google.android.gm:id/viewified_conversation_item_view' description='PDF'> Starred;; Important;; ;; To: Karan;; 7 messages;; Ph.D Application - Tsinghua University - Bowen Wang - Undergrad.;; Dear Prof. I'm thrilled to have your early reply;; and let's have a detailed meeting to discuss everything in alignment. That must be a wonderful experience. Moreover;; I noticed that you;; ;;  on Aug 10;; labels: Inbox;;     <p> To: Karan  7 </p>    <p> Aug 10 </p>    <p> Ph.D Application - Tsinghua University - Bowen Wang - Undergrad. </p>    <p> Dear Prof. I'm thrilled to have your early reply;; and let's have a detailed meeting to discuss everything in alignment. That must be a wonderful experience. Moreover;; I noticed that you </p>    <p> CV </p>    <div id=7 class='com.google.android.gm:id/attachment_name' > CV </div>    <button id=8 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=9 class='com.google.android.gm:id/viewified_conversation_item_view' > ;; ;; ;; To: unsubscribe.;; ;; ;; Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。;; ;;  on Aug 17    <p> To: unsubscribe. </p>    <p> Aug 17 </p>    <p> (no subject) </p>    <p> Apple“邮件”发送此电子邮件来取消订阅“(null)”邮件。 </p>    <button id=10 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=11 class='com.google.android.gm:id/viewified_conversation_item_view' description='PDF'> Starred;; Important;; ;; To: Haijun;; 8 messages;; Inquiry on Intern at Creativity Lab from a [ Tsinghua Student in Prof. Shi's HCI Lab ];; Dear Prof. I've sent your a zoom meeting link via Google Calendar. Hope everything goes well! Best regards;; Bowen On Sun;; Aug 20;; 2023 at 2:51 AM Haijun Xia <haijunxia@ucsd.edu> wrote: Sounds;; ;;  on Aug 21;; labels: Inbox;;     <p> To: Haijun  8 </p>    <p> Aug 21 </p>    <p> Inquiry on Intern at Creativity Lab from a [ Tsinghua Student in Prof. Shi's HCI Lab ] </p>    <p> Dear Prof. I've sent your a zoom meeting link via Google Calendar. Hope everything goes well! Best regards;; Bowen On Sun;; Aug 20;; 2023 at 2:51 AM Haijun Xia <haijunxia@ucsd.edu> wrote: Sounds </p>    <p> CV </p>    <div id=12 class='com.google.android.gm:id/attachment_name' > CV </div>    <button id=13 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=14 class='com.google.android.gm:id/viewified_conversation_item_view' description='PDF;;PDF'> Starred;; Important;; ;; To: Anhong;; 5 messages;; Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad.;; Dear Prof. Couldn't be better! It's obvious that recently most labs are focusing on CHI;; same as mine. Hope everything goes well in CHI24 and see you then. Best regards;; Bowen On Thu;; Aug 31;;;; ;;  on Aug 31;; labels: Inbox;; Notes;;     <p> To: Anhong  5 </p>    <p> Aug 31 </p>    <p> Prospective Ph.D Application - Bowen Wang - Tsinghua University - Undergrad. </p>    <p> Dear Prof. Couldn't be better! It's obvious that recently most labs are focusing on CHI;; same as mine. Hope everything goes well in CHI24 and see you then. Best regards;; Bowen On Thu;; Aug 31;; </p>    <p> Transcript_college </p>    <p> CV </p>    <div id=15 class='com.google.android.gm:id/attachment_name' > CV </div>    <div id=16 class='com.google.android.gm:id/attachment_name' > Transcript_college </div>    <button id=17 class='com.google.android.gm:id/contact_image' >  </button> </div><div id=18 class='com.google.android.gm:id/hide_filters_text' > Hide filters </div><button id=19 class='com.google.android.gm:id/conversation_list_filter_icon' description='Filter icon'>  </button><div id=20 class='' > Exclude calendar updates </div><div id=21 class='' > Is unread </div><div id=22 class='' > Date </div><div id=23 class='' > Attachment </div><div id=24 class='' > To </div><div id=25 class='' > Sent </div><div id=26 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=27 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=28 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <div id=28 class='' description='Open navigation drawer'>  </div>,<div id=1 class='com.google.android.gm:id/hub_drawer_label_container' > Help & feedback </div><div id=2 class='com.google.android.gm:id/hub_drawer_label_container' > Settings </div><div id=3 class='com.google.android.gm:id/hub_drawer_label_container' > Contacts </div><div id=4 class='com.google.android.gm:id/hub_drawer_label_container' > Calendar </div><div id=5 class='com.google.android.gm:id/hub_drawer_label_container' > Notes </div><div id=6 class='com.google.android.gm:id/hub_drawer_label_container' > Trash    <p> 3 </p> </div><div id=7 class='com.google.android.gm:id/hub_drawer_label_container' > Spam    <p> 6 </p> </div><div id=8 class='com.google.android.gm:id/hub_drawer_label_container' > All mail    <p> 59 </p> </div><div id=9 class='com.google.android.gm:id/hub_drawer_label_container' > Drafts </div><div id=10 class='com.google.android.gm:id/hub_drawer_label_container' > Outbox </div><div id=11 class='com.google.android.gm:id/hub_drawer_label_container' > Scheduled </div><div id=12 class='com.google.android.gm:id/hub_drawer_label_container' > Sent </div><div id=13 class='com.google.android.gm:id/hub_drawer_label_container' > Important    <p> 2 </p> </div><div id=14 class='com.google.android.gm:id/hub_drawer_label_container' > Snoozed </div><div id=15 class='com.google.android.gm:id/hub_drawer_label_container' > Starred </div><button id=16 class='' description='Meet'>  </button><div id=17 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=18 class='' > Date </div><div id=19 class='' > Attachment </div><div id=20 class='' > To </div><div id=21 class='' > Drafts </div><div id=22 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=23 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=24 class='' description='Open navigation drawer'>  </div> </div>,Main interface of the Google Mail application
<div id=1 class='com.google.android.gm:id/hub_drawer_label_container' > Help & feedback </div><div id=2 class='com.google.android.gm:id/hub_drawer_label_container' > Settings </div><div id=3 class='com.google.android.gm:id/hub_drawer_label_container' > Contacts </div><div id=4 class='com.google.android.gm:id/hub_drawer_label_container' > Calendar </div><div id=5 class='com.google.android.gm:id/hub_drawer_label_container' > Notes </div><div id=6 class='com.google.android.gm:id/hub_drawer_label_container' > Trash    <p> 3 </p> </div><div id=7 class='com.google.android.gm:id/hub_drawer_label_container' > Spam    <p> 6 </p> </div><div id=8 class='com.google.android.gm:id/hub_drawer_label_container' > All mail    <p> 59 </p> </div><div id=9 class='com.google.android.gm:id/hub_drawer_label_container' > Drafts </div><div id=10 class='com.google.android.gm:id/hub_drawer_label_container' > Outbox </div><div id=11 class='com.google.android.gm:id/hub_drawer_label_container' > Scheduled </div><div id=12 class='com.google.android.gm:id/hub_drawer_label_container' > Sent </div><div id=13 class='com.google.android.gm:id/hub_drawer_label_container' > Important    <p> 2 </p> </div><div id=14 class='com.google.android.gm:id/hub_drawer_label_container' > Snoozed </div><div id=15 class='com.google.android.gm:id/hub_drawer_label_container' > Starred </div><button id=16 class='' description='Meet'>  </button><div id=17 class='com.google.android.gm:id/compose_button' description='Compose'> Compose </div><div id=18 class='' > Date </div><div id=19 class='' > Attachment </div><div id=20 class='' > To </div><div id=21 class='' > Drafts </div><div id=22 class='com.google.android.gm:id/open_search' description='Open navigation drawer;;Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'> Search in mail    <p> Search in mail </p>    <button id=23 class='com.google.android.gm:id/selected_account_disc_gmail' description='Signed in as Bowen Wang saltyp0rridge20@gmail.comAccount and settings.'>  </button>    <div id=24 class='' description='Open navigation drawer'>  </div> </div>,Action: Click on <div id=2 class='com.google.android.gm:id/hub_drawer_label_container' > Settings </div>,<div id=1 class='' > Add account </div><div id=2 class='' > saltyp0rridge20@gmail.com </div><div id=3 class='' > General settings </div><button id=4 class='' description='More options'>  </button><div id=5 class='' description='Navigate up'>  </div>,"Account settings page with options to add accounts, access general settings, and more options"
